station,latitude,lontitude,elevation(m)
D001,23.895,121.5423,41
D002,23.8963,121.5399,11
D003,23.8964,121.5423,46
D004,23.8949,121.5491,37
D005,23.8992,121.5412,45
D006,23.8959,121.5484,58
H001,24.7826,120.9957,115
H002,24.7753,121.0152,95
H004,24.7721,121.002,108
H005,24.7728,121.0098,103
H006,24.7738,121.0177,103
H008,24.7842,121.0011,100
H009,24.7842,121.0011,100
H010,24.7842,121.0011,100
H013,23.1013,120.2822,2
H014,23.09,120.2853,1
H015,23.1171,120.2706,3
H016,22.8312,120.2558,13
H017,22.8252,120.2787,8
H018,24.322,120.7239,85
H019,24.2054,120.6031,236
H01A,23.7365,120.3959,21
H01B,23.9325,120.4294,15
H01D,24.7342,121.7569,7
H01E,24.4633,120.7727,251
H01F,24.707,120.9233,59
H020,24.8041,121.0442,52
H021,24.8875,121.1885,221
H022,24.0504,120.4348,13
H023,23.7482,120.2556,12
H024,22.9904,120.2043,18
H025,23.4784,120.454,42
H026,23.5619,120.3087,13
H027,25.0331,121.516,15
H029,22.6772,120.2915,12
H02A,25.0428,121.515,NaN
H02B,24.1363,120.6857,NaN
H02C,23.9363,120.6978,NaN
L001,22.9825,120.2457,31
L002,23.0171,120.2484,41
L003,23.0154,120.1998,39
L004,22.9794,120.1963,31
L005,22.9974,120.2186,31
L010,22.648,120.523,26
L011,22.5944,120.4918,16
L012,22.6061,120.6111,87
L013,22.1996,120.7069,55
L014,22.4711,120.5518,8
L015,22.7776,120.5242,43
L016,22.7443,120.7322,841
L017,22.5243,120.4521,5
L020,22.7223,120.4433,46
L021,23.1489,120.632,438
L022,22.6266,120.3244,8
L023,22.8876,120.2438,13
L024,22.803,120.3028,8
L025,22.605,120.3952,35
L026,22.9977,120.2216,NaN
S001,24.9692,121.335,112
S002,25.0378,121.4437,14
S003,24.9548,121.3841,35
S004,25.0182,121.4523,13
S005,25.0645,121.4882,5
S006,25.0871,121.4652,4
S007,25.0806,121.4351,24
S009,25.0667,121.6414,20
S00A,24.9381,121.7129,197
S00B,25.0219,121.9148,25
S00C,25.1045,121.8458,425
S00D,25.177,121.6947,16
S00E,25.0112,121.4488,110
S00F,25.0049,121.4663,20
S010,24.9979,121.463,23
S011,24.9999,121.4793,23
S012,25.004,121.5209,17
S013,25.0024,121.5055,17
S014,24.9624,121.4302,26
S015,25.034,121.4417,10
S016,25.0252,121.4731,12
S017,25.0288,121.4683,7
S018,25.0293,121.4768,12
S019,25.0246,121.4589,15
S01A,25.0268,121.4635,14
S01B,24.9864,121.5088,18
S01C,25.0235,121.4584,16
S01E,25.0355,121.452,12
S01F,25.0876,121.4891,0
T001,25.0134,121.5417,19
T003,25.0186,121.5416,19
W001,23.4304,121.3489,96
W002,23.9918,121.6313,44
W003,23.8419,121.5076,70
W004,23.4058,121.32,134
W005,23.655,121.4193,131
W006,23.9044,121.5316,67
W007,24.1029,121.6071,41
W008,23.9353,121.5783,47
W009,23.4932,121.3923,198
W00A,23.7542,121.4686,99
W00B,24.0523,121.6082,35
W00C,23.8704,121.5081,63
W00D,23.8195,121.4735,130
W00E,24.0069,121.6195,30
W00F,23.978,121.6167,23
W010,23.3363,121.3134,213
W011,24.1276,121.6517,54
W012,24.2069,121.4831,955
W013,23.9652,121.4944,180
W014,24.118,121.6248,62
W015,23.7062,121.4126,111
W017,23.4973,121.4458,150
W018,23.4688,121.4968,26
W019,23.2957,121.2673,213
W01A,23.2145,121.2794,248
W01B,23.462,121.4954,86
W01C,23.3832,121.3587,240
W01D,23.7823,121.5643,41
W01E,23.4515,121.3928,121
W01F,23.1716,121.2478,253
W020,23.2785,121.3225,194
W021,23.6521,121.5356,26
W022,23.8676,121.5568,33
W023,24.1476,121.6292,57
W024,23.6012,121.5219,31
W025,23.6599,121.4479,116
W026,23.5769,121.3619,193
W027,23.5231,121.3903,115
W028,23.9795,121.6149,18
W029,24.1614,121.6526,36
W02A,24.308,121.7487,27
W02B,24.4258,121.7495,122
W02C,24.6561,121.5787,197
W02D,24.6128,121.5262,308
W02E,24.5326,121.4508,578
W02F,24.7116,121.6525,89
W030,24.719,121.6877,40
W031,24.3291,121.7399,56
W032,24.471,121.7777,46
W033,24.6006,121.5293,336
W034,24.9358,121.8868,88
W035,24.6787,121.6085,111
W036,24.8221,121.7687,28
W037,24.6661,121.651,110
W038,24.5218,121.8325,26
W039,24.8631,121.8277,80
W03A,24.6657,121.8276,12
W03B,24.6966,121.8114,7
W03C,24.6326,121.7897,4
W03D,24.4452,121.7777,41
W03E,24.467,121.8011,50
W040,24.6095,121.6871,159
W041,24.6808,121.7621,41
W042,24.749,121.7469,24
W043,24.4881,121.4256,875
W044,24.7587,121.8149,5
W045,24.8255,121.8208,23
W046,24.7799,121.7443,13
W047,24.438,121.3803,339
W048,24.579,121.8679,50
W049,24.7244,121.7629,51
W04A,24.6678,121.7128,52
W04B,24.9714,121.927,98
W04C,24.7438,121.7899,13
W04D,24.754,121.7544,19
W04E,24.6221,121.8346,21
W04F,24.5933,121.8427,13
W050,24.9005,121.8623,18
W051,22.8847,120.6637,269
W052,22.969,120.5409,189
W053,23.1787,120.7808,304
W054,23.082,120.5922,603
W055,22.8839,120.5309,141
W056,23.1608,120.7659,620
W057,22.9109,120.7153,267
W059,22.9962,120.634,267
W05A,23.0317,120.6621,297
W05B,22.8859,120.5798,141
W05C,23.1091,120.701,539
W05D,23.2529,120.8192,304
W05E,22.7773,120.4058,100
W05F,22.7303,120.3456,43
W060,22.6632,120.3619,31
W061,22.9176,120.4534,54
W062,22.7351,120.3266,43
W063,22.7953,120.3659,100
W064,22.7016,120.3488,46
W065,22.9757,120.4675,86
W066,22.8756,120.1965,8
W067,22.878,120.3795,38
W068,22.8209,120.2093,4
W069,22.8353,120.3696,64
W06A,22.8493,120.3244,16
W06B,22.8672,120.265,26
W06C,22.8983,120.6271,153
W06D,23.0554,120.7215,1342
W06E,23.0731,120.6726,405
W06F,23.1285,120.719,519
W070,23.7854,120.9502,520
W071,23.9809,120.6863,205
W072,23.9308,120.9904,927
W073,23.6402,120.8696,780
W074,23.8374,120.9025,745
W075,23.5619,120.9278,821
W076,23.9681,121.1089,930
W077,23.7689,120.7076,188
W078,23.7941,120.9428,393
W079,23.891,120.8895,189
W07A,23.7363,120.7652,1194
W07B,23.7849,120.8644,392
W07C,23.9425,120.9263,491
W07D,24.123,121.1571,471
W07E,23.9421,120.7026,182
W07F,23.9166,121.0467,927
W080,23.6461,120.6563,107
W081,23.7142,120.6549,119
W083,24.0863,121.217,1466
W084,23.8905,120.9664,663
W085,23.9311,120.6941,106
W087,23.5937,120.8877,780
W088,24.021,121.1333,1465
W089,23.8278,120.7866,249
W08A,23.87,120.6764,206
W08B,23.6995,120.7169,734
W08C,23.9057,120.6377,415
W08D,23.9251,120.7322,150
W08E,23.8094,120.7212,210
W08F,23.904,120.6796,211
W090,24.0259,120.9214,475
W091,24.0114,120.8224,262
W092,24.0126,120.9578,468
W093,24.0632,120.97,478
W094,23.9796,120.6984,177
W095,23.8417,120.6306,416
W096,24.0926,120.8881,381
W097,23.9412,120.6679,102
W098,24.0596,121.1919,1311
W099,23.6977,120.8545,518
W09A,24.1597,121.1772,1154
W09B,23.8834,120.7987,225
W09C,24,121.0785,715
W09D,23.9688,120.9665,451
W100,23.5603,120.8749,1012
W102,24.7233,121.1581,229
W103,23.1252,121.2287,270
W104,22.6472,120.6023,52
W105,23.6101,120.5703,184
W108,24.9701,121.1946,31
W109,25.0407,121.6141,124
W10A,25.1496,121.7731,65
W10B,25.015,121.5372,17
W10C,25.0214,121.5367,78
W10D,24.9822,121.5084,18
W10E,25.0389,121.5131,18
W10F,23.8959,121.5484,0
W110,22.6315,121.0036,81
W111,22.8073,121.0932,121
W112,22.3818,120.8566,483
W113,22.9692,121.117,284
W114,22.9983,121.2852,92
