city,lat,lon,depth
0,23.8121,121.4415,0.178
1,23.4921,121.4239,0.094
2,23.9036,121.6017,0.071
3,23.5038,121.3299,0.237
4,23.9751,121.6135,0.016
5,23.3508,121.3053,0.26
6,24.0813,121.6048,0.047
7,23.1986,121.2939,0.376
8,24.0602,121.174,1.85
9,23.8813,120.9083,1.015
10,23.1871,121.025,1.04
11,24.252,121.1583,1.2945
12,23.5083,120.8134,2.413
13,23.3005,120.6296,0.37
14,24.6697,121.3757,0.775
15,24.1582,121.623,0.415
16,24.1738,121.5947,0.13
17,24.3075,121.749,0.024
18,23.9037,121.602,0.071
19,24.4263,121.749,0.113
20,24.1434,121.2724,3.3947
21,24.4284,121.3828,1.102
22,24.4284,121.3829,0.813
23,24.4374,121.3814,1.14
24,24.5353,121.5264,1.02
25,24.634,121.7168,-0.064
26,23.6688,121.4274,-0.163
27,24.6378,121.5736,0.28
28,23.9919,121.1175,1.152
29,24.718,121.6829,0.056
30,24.6735,121.3664,0.682
31,23.7537,121.1412,0.0
32,24.7597,121.5875,0.69
33,24.0566,120.9116,0.199
34,24.6319,121.1177,0.555
35,23.7875,120.954,0.45
36,23.8219,120.7279,-0.123
37,25.0942,121.8754,0.745
38,23.9655,121.4928,0.19
39,23.1608,120.7655,0.64
40,23.2438,120.6223,0.56
41,23.0804,120.5908,0.278
42,23.3513,120.594,0.957
43,23.185,120.5285,0.217
44,23.5973,120.6776,0.84
45,24.4275,121.7498,0.112
46,24.4494,121.8102,0.004
47,24.9719,121.8256,0.393
48,24.2495,121.162,1.5
49,24.8526,121.2524,0.027
50,25.0716,121.7806,0.1
51,25.0715,121.7815,0.765
52,24.9673,121.1944,0.134
53,25.1014,121.4234,0.101
54,25.1555,121.5609,0.615
55,23.3472,121.3191,-0.235
56,24.2068,121.4818,0.849
57,23.6961,120.8532,0.204
58,24.014,120.9492,0.19
59,23.0978,121.373,0.034
60,23.9052,120.8697,0.02
61,24.2476,121.2438,2.047
62,24.0334,120.9264,0.65
63,22.9725,121.3039,-0.221
64,23.9068,120.6798,0.115
65,24.2777,120.9458,0.832
66,24.0427,120.6983,0.116
67,23.6844,120.5703,0.075
68,23.6888,120.5381,-0.228
69,24.3465,120.7733,0.26
70,24.0795,120.5583,-0.262
71,23.4963,120.4325,0.027
72,24.4143,120.7696,0.311
73,23.2648,120.4999,0.59
74,24.3478,120.6403,-0.293
75,22.9934,120.6463,-0.095
76,23.8911,120.3594,-0.06
77,24.6296,121.0087,0.164
78,24.6469,121.0162,0.33
79,24.5372,120.791,-0.095
80,23.4777,120.2999,0.016
81,24.7772,121.5025,0.2
82,23.3606,120.2793,-0.455
83,24.778,121.018,0.102
84,23.0751,120.3643,0.05
85,23.3474,120.2227,0.006
86,24.8282,121.0143,0.034
87,24.9735,121.4971,-0.0058
88,24.9679,121.1849,-0.143
89,24.9997,121.2976,0.094
90,25.0377,121.5138,-0.065
91,24.4692,123.0028,0.032
92,23.5114,119.5801,0.015
93,23.2198,120.4973,-0.144
94,23.6364,120.2298,0.006
95,23.1735,120.2017,0.007
96,23.8219,120.7279,-0.117
97,23.804,120.223,0.012
98,23.8617,120.2892,0.005
99,23.8767,120.6925,0.11
100,23.0379,120.2364,0.008
101,22.7443,120.6402,0.148
102,22.8177,121.0799,0.195
103,22.6119,120.6328,0.139
104,23.5652,119.5636,0.011
105,23.2087,119.4295,0.06
106,24.6082,121.8595,0.02
107,24.445,121.7783,-0.24
108,24.8544,121.8297,-0.288
109,25.0068,121.9972,0.13
110,24.9778,121.5923,0.26
111,24.963,121.525,-0.169
112,25.1493,121.7734,0.043
