Description,Picking_Time,Warning_Time,Station_Id,County,Township,Station_Chinese_Name,8gal,25gal,81gal,140gal,250gal
0,2023-04-13 00:29:04.693910,2023-04-13 00:29:07.794617,EHYH,花蓮縣,萬榮鄉,紅葉,1,0,0,0,0
1,2023-04-13 00:29:05.593910,2023-04-13 00:29:12.585801,CHKH,臺東縣,成功鎮,博愛,1,0,0,0,0
2,2023-04-13 00:29:05.343910,2023-04-13 00:29:13.044770,EGFH,花蓮縣,光復鄉,光復,1,1,0,0,0
3,2023-04-13 00:29:06.513910,2023-04-13 00:29:13.733016,SHUL,花蓮縣,壽豐鄉,水璉,1,0,0,0,0
4,2023-04-13 00:29:08.563910,2023-04-13 00:29:17.217261,ELD,臺東縣,海端鄉,利稻,1,0,0,0,0
5,2023-04-13 00:29:09.063910,2023-04-13 00:29:17.217450,EDH,臺東縣,東河鄉,東河,1,1,0,0,0
6,2023-04-13 00:29:11.693910,2023-04-13 00:29:17.871974,ETLH,花蓮縣,秀林鄉,太魯閣,1,0,0,0,0
7,2023-04-13 00:29:11.803910,2023-04-13 00:29:21.326327,WHY,南投縣,信義鄉,信義,1,0,0,0,0
8,2023-04-13 00:29:13.973910,2023-04-13 00:29:22.333493,WCS,南投縣,國姓鄉,國姓,1,1,0,0,0
9,2023-04-13 00:29:14.173910,2023-04-13 00:29:22.333616,FUSS,臺中市,和平區,福壽山,1,1,0,0,0
10,2023-04-13 00:29:06.793910,2023-04-13 00:29:22.333834,EHD,台東縣,海端鄉,廣原國小,1,0,0,0,0
11,2023-04-13 00:29:10.853910,2023-04-13 00:29:22.333975,LDU,臺東縣,綠島鄉,綠島,1,1,1,1,0
12,2023-04-13 00:29:18.323910,2023-04-13 00:29:22.864724,ESA,宜蘭縣,蘇澳鎮,永樂,1,1,0,0,0
13,2023-04-13 00:29:16.283910,2023-04-13 00:29:27.380238,WDLH,雲林縣,斗六市,斗六市,1,1,0,0,0
14,2023-04-13 00:29:19.783910,2023-04-13 00:29:27.380379,SCS,高雄市,旗山區,旗山,1,0,0,0,0
15,2023-04-13 00:29:18.523910,2023-04-13 00:29:27.380430,TAWH,臺東縣,大武鄉,大武,1,0,0,0,0
16,2023-04-13 00:29:19.253910,2023-04-13 00:29:27.380665,WRL,彰化縣,二林鎮,二林,1,1,0,0,0
17,2023-04-13 00:29:16.453910,2023-04-13 00:29:27.571772,WHP,台中市,東勢區,和平,1,0,0,0,0
18,2023-04-13 00:29:22.843910,2023-04-13 00:29:27.934982,KSHI,新竹縣,關西鎮,關西,1,0,0,0,0
19,2023-04-13 00:29:23.963910,2023-04-13 00:29:37.414573,NHDH,新北市,新店區,新店,1,1,0,0,0
20,2023-04-13 00:29:26.163910,2023-04-13 00:29:37.414939,ZUZH,臺北市,北投區,竹子湖,1,0,0,0,0
