,Description,Picking_Time,Warning_Time,Station_Id,County,Township,Station_Chinese_Name,8gal,25gal,81gal,140gal,250gal,Label_0.8gal,Label_2.5gal,Label_8gal,Label_25gal,Label_81gal,Label_140gal,Label_250gal
0,0,2023-04-13 13:59:34.399210,2023-04-13 13:59:37.608382,EHYH,花蓮縣,萬榮鄉,紅葉,1,1,1,0,0,2023-04-13 13:59:35.399210,2023-04-13 13:59:36.399210,2023-04-13 13:59:40.399210,,,,
1,1,2023-04-13 13:59:35.369210,2023-04-13 13:59:42.456520,CHKH,臺東縣,成功鎮,博愛,1,1,0,0,0,2023-04-13 13:59:37.399210,2023-04-13 13:59:37.399210,2023-04-13 13:59:42.399210,2023-04-13 13:59:42.399210,,,
2,2,2023-04-13 13:59:38.839210,2023-04-13 13:59:42.921122,EDH,臺東縣,東河鄉,東河,1,1,0,0,0,2023-04-13 13:59:47.399210,2023-04-13 13:59:48.399210,,,,,
3,3,2023-04-13 13:59:35.119210,2023-04-13 13:59:43.347257,EGFH,花蓮縣,光復鄉,光復,1,1,0,0,0,2023-04-13 13:59:34.399210,2023-04-13 13:59:34.399210,2023-04-13 13:59:37.399210,2023-04-13 13:59:38.399210,,,
4,4,2023-04-13 13:59:36.649210,2023-04-13 13:59:43.731317,EHD,台東縣,海端鄉,廣原國小,1,0,0,0,0,2023-04-13 13:59:34.399210,2023-04-13 13:59:35.399210,2023-04-13 13:59:42.399210,,,,
5,5,2023-04-13 13:59:38.339210,2023-04-13 13:59:44.569735,ELD,臺東縣,海端鄉,利稻,1,0,0,0,0,2023-04-13 13:59:34.399210,2023-04-13 13:59:34.399210,2023-04-13 13:59:59.399210,,,,
6,6,2023-04-13 13:59:36.289210,2023-04-13 13:59:44.974136,SHUL,花蓮縣,壽豐鄉,水璉,1,1,1,0,0,2023-04-13 13:59:34.399210,2023-04-13 13:59:34.399210,2023-04-13 13:59:39.399210,2023-04-13 14:00:01.399210,2023-04-13 14:00:01.399210,,
7,7,2023-04-13 13:59:44.249210,2023-04-13 13:59:47.211556,EAH,宜蘭縣,南澳鄉,澳花,1,0,0,0,0,2023-04-13 13:59:37.399210,2023-04-13 13:59:50.399210,,,,,
8,8,2023-04-13 13:59:41.469210,2023-04-13 13:59:47.955206,ETLH,花蓮縣,秀林鄉,太魯閣,1,0,0,0,0,2023-04-13 13:59:34.399210,2023-04-13 13:59:35.399210,2023-04-13 13:59:43.399210,,,,
9,9,2023-04-13 13:59:43.949210,2023-04-13 13:59:48.389388,FUSS,臺中市,和平區,福壽山,1,1,0,0,0,2023-04-13 13:59:45.399210,,,,,,
10,10,2023-04-13 13:59:40.629210,2023-04-13 13:59:48.739605,LDU,臺東縣,綠島鄉,綠島,1,1,0,0,0,2023-04-13 13:59:39.399210,2023-04-13 13:59:46.399210,,,,,
11,11,2023-04-13 13:59:42.159210,2023-04-13 13:59:49.675920,STYH,高雄市,桃源區,桃源,1,1,0,0,0,2023-04-13 13:59:34.399210,2023-04-13 13:59:38.399210,2023-04-13 14:00:14.399210,2023-04-13 14:00:14.399210,,,
12,12,2023-04-13 13:59:43.749210,2023-04-13 13:59:50.540730,WCS,南投縣,國姓鄉,國姓,1,1,0,0,0,2023-04-13 13:59:48.399210,,,,,,
13,13,2023-04-13 13:59:41.579210,2023-04-13 13:59:50.892436,WHY,南投縣,信義鄉,信義,1,0,0,0,0,2023-04-13 13:59:34.399210,2023-04-13 13:59:38.399210,,,,,
14,14,2023-04-13 13:59:47.169210,2023-04-13 13:59:53.106404,CHY,嘉義市,西區,嘉義市,1,0,0,0,0,2023-04-13 13:59:36.399210,2023-04-13 13:59:48.399210,,,,,
15,15,2023-04-13 13:59:48.099210,2023-04-13 13:59:53.106880,ESA,宜蘭縣,蘇澳鎮,永樂,1,1,1,1,0,2023-04-13 13:59:34.399210,2023-04-13 13:59:34.399210,2023-04-13 13:59:36.399210,2023-04-13 13:59:42.399210,2023-04-13 13:59:53.399210,,
16,16,2023-04-13 13:59:49.139210,2023-04-13 13:59:53.618968,ICHU,嘉義縣,義竹鄉,義竹,1,1,0,0,0,2023-04-13 13:59:34.399210,2023-04-13 13:59:42.399210,,,,,
17,17,2023-04-13 13:59:49.559210,2023-04-13 13:59:53.922198,SCS,高雄市,旗山區,旗山,1,1,0,0,0,,,,,,,
18,18,2023-04-13 13:59:45.819210,2023-04-13 13:59:54.262996,SNS,台南市,楠西區,曾文,1,0,0,0,0,2023-04-13 13:59:42.399210,2023-04-13 13:59:43.399210,,,,,
19,19,2023-04-13 13:59:48.299210,2023-04-13 13:59:54.725120,TAWH,臺東縣,大武鄉,大武,1,0,0,0,0,2023-04-13 13:59:34.399210,2023-04-13 14:00:12.399210,2023-04-13 14:00:12.399210,2023-04-13 14:00:12.399210,,,
20,20,2023-04-13 13:59:44.829210,2023-04-13 13:59:55.146684,WCKO,嘉義縣,番路鄉,黎明國小,1,0,0,0,0,2023-04-13 13:59:34.399210,2023-04-13 13:59:38.399210,,,,,
21,21,2023-04-13 13:59:46.059210,2023-04-13 13:59:56.031395,WDLH,雲林縣,斗六市,斗六市,1,1,0,0,0,2023-04-13 13:59:34.399210,2023-04-13 13:59:37.399210,2023-04-13 14:00:33.399210,2023-04-13 14:00:33.399210,,,
22,22,2023-04-13 13:59:46.229210,2023-04-13 13:59:56.865978,WHP,台中市,東勢區,和平,1,0,0,0,0,2023-04-13 13:59:36.399210,,,,,,
23,23,2023-04-13 13:59:49.029210,2023-04-13 13:59:57.339963,WRL,彰化縣,二林鎮,二林,1,1,0,0,0,2023-04-13 13:59:41.399210,,,,,,
24,24,2023-04-13 13:59:50.229210,2023-04-13 13:59:59.253482,NDT,宜蘭縣,大同鄉,大同,1,0,0,0,0,2023-04-13 13:59:35.399210,,,,,,
25,25,2023-04-13 13:59:50.199210,2023-04-13 13:59:59.536332,NFF,新竹縣,五峰鄉,五峰,1,0,0,0,0,2023-04-13 13:59:39.399210,,,,,,
26,26,2023-04-13 13:59:53.739210,2023-04-13 13:59:59.904027,NHDH,新北市,新店區,新店,1,1,1,1,0,2023-04-13 13:59:38.399210,2023-04-13 13:59:38.399210,2023-04-13 13:59:38.399210,,,,
27,27,2023-04-13 13:59:52.749210,2023-04-13 13:59:59.904448,KSHI,新竹縣,關西鎮,關西,1,0,0,0,0,2023-04-13 13:59:39.399210,2023-04-13 13:59:47.399210,,,,,
28,28,2023-04-13 13:59:50.499210,2023-04-13 14:00:00.290129,WDJ,臺中市,大甲區,大甲,1,0,0,0,0,2023-04-13 13:59:39.399210,2023-04-13 13:59:39.399210,,,,,
29,29,2023-04-13 13:59:53.729210,2023-04-13 14:00:00.290198,HSN,新竹縣,竹北市,竹北,1,0,0,0,0,,,,,,,
30,30,2023-04-13 13:59:55.939210,2023-04-13 14:00:08.020297,ZUZH,臺北市,北投區,竹子湖,1,1,0,0,0,,,,,,,
