,Description,Picking_Time,Warning_Time,Station_Id,County,Township,Station_Chinese_Name,8gal,25gal,81gal,140gal,250gal,pick_time_interval,position_time_interval,pred_time_interval,update_time_interval,Label_0.8gal,Label_2.5gal,Label_8gal,Label_25gal,Label_81gal,Label_140gal,Label_250gal
0,0,2023-05-23 08:30:05.859290,,EHYH,花蓮縣,"23.4938,121.3451","23.4938,121.3451",0,0,0,0,0,,,,,2023-05-23 08:30:04.859290,2023-05-23 08:30:09.859290,,,,,
1,1,2023-05-23 08:30:06.819290,,CHKH,臺東縣,"23.1917,121.3957","23.1917,121.3957",0,0,0,0,0,,,,,2023-05-23 08:30:00.859290,2023-05-23 08:30:06.859290,2023-05-23 08:30:06.859290,,,,
2,2,2023-05-23 08:30:06.569290,,EGFH,花蓮縣,"23.6688,121.4274","23.6688,121.4274",0,0,0,0,0,,,,,2023-05-23 08:30:00.859290,2023-05-23 08:30:00.859290,2023-05-23 08:30:01.859290,2023-05-23 08:30:07.859290,,,
3,3,2023-05-23 08:30:08.019290,,EHD,台東縣,"23.1488,121.2061","23.1488,121.2061",0,0,0,0,0,,,,,2023-05-23 08:30:02.859290,2023-05-23 08:30:04.859290,2023-05-23 08:30:10.859290,,,,
4,4,2023-05-23 08:30:07.739290,,SHUL,花蓮縣,"23.7875,121.5627","23.7875,121.5627",0,0,0,0,0,,,,,2023-05-23 08:29:55.859290,2023-05-23 08:30:01.859290,2023-05-23 08:30:31.859290,2023-05-23 08:30:31.859290,,,
5,5,2023-05-23 08:30:09.789290,,ELD,臺東縣,"23.1871,121.0250","23.1871,121.0250",0,0,0,0,0,,,,,2023-05-23 08:29:55.859290,2023-05-23 08:29:55.859290,,,,,
6,6,2023-05-23 08:30:10.089290,,EDH,臺東縣,"22.9725,121.3039","22.9725,121.3039",0,0,0,0,0,,,,,2023-05-23 08:29:55.859290,2023-05-23 08:30:11.859290,,,,,
7,7,2023-05-23 08:30:11.179290,,LONT,臺東縣,"22.9064,121.1299","22.9064,121.1299",0,0,0,0,0,,,,,2023-05-23 08:30:06.859290,2023-05-23 08:30:14.859290,,,,,
8,8,2023-05-23 08:30:11.209290,,OWD,南投縣,"23.9545,121.1759","23.9545,121.1759",0,0,0,0,0,,,,,2023-05-23 08:30:08.859290,,,,,,
9,9,2023-05-23 08:30:12.919290,,ETLH,花蓮縣,"24.2068,121.4818","24.2068,121.4818",0,0,0,0,0,,,,,2023-05-23 08:30:01.859290,2023-05-23 08:30:03.859290,2023-05-23 08:30:11.859290,,,,
10,10,2023-05-23 08:30:13.029290,,WHY,南投縣,"23.6961,120.8532","23.6961,120.8532",0,0,0,0,0,,,,,2023-05-23 08:30:01.859290,2023-05-23 08:30:11.859290,,,,,
11,11,2023-05-23 08:30:13.619290,,STYH,高雄市,"23.1794,120.7811","23.1794,120.7811",0,0,0,0,0,,,,,2023-05-23 08:30:02.859290,2023-05-23 08:30:12.859290,,,,,
12,12,2023-05-23 08:30:16.659290,,WCKO,嘉義縣,"23.4385,120.6047","23.4385,120.6047",0,0,0,0,0,,,,,2023-05-23 08:30:17.859290,,,,,,
13,13,2023-05-23 08:30:18.319290,,SNS,台南市,"23.2198,120.4973","23.2198,120.4973",0,0,0,0,0,,,,,2023-05-23 08:30:16.859290,2023-05-23 08:30:16.859290,,,,,
14,14,2023-05-23 08:30:19.549290,,ESA,宜蘭縣,"24.5757,121.8439","24.5757,121.8439",0,0,0,0,0,,,,,2023-05-23 08:30:00.859290,2023-05-23 08:30:03.859290,2023-05-23 08:30:04.859290,2023-05-23 08:30:10.859290,2023-05-23 08:30:22.859290,,
15,15,2023-05-23 08:30:21.949290,,WDJ,臺中市,"24.3478,120.6403","24.3478,120.6403",0,0,0,0,0,,,,,2023-05-23 08:30:06.859290,2023-05-23 08:30:23.859290,,,,,
